"","feature1","feature2","class"
"1",15.5567865015118,72.6208467359244,"1"
"2",17.4482038935512,75.7816490043792,"1"
"3",23.256052576135,95.2745516906357,"1"
"4",15.8355300521799,80.4436561070274,"1"
"5",24.6468930581533,76.4705886391938,"1"
"6",20.3544143572695,98.8029052562283,"1"
"7",16.5442327473269,84.9968664461746,"1"
"8",-0.148385519310811,72.1241134794561,"1"
"9",8.97960617488748,74.5441699609189,"1"
"10",14.2297167710056,74.781653647155,"1"
"11",11.5941096475575,97.2880905722214,"1"
"12",6.92885432527433,88.8655115536721,"1"
"13",21.3933456834784,81.641818151252,"1"
"14",13.9319408052107,81.9699972334491,"1"
"15",12.8214778527026,74.1432929205966,"1"
"16",23.7343318483747,97.9017733283571,"1"
"17",16.8163938114898,85.3178458244025,"1"
"18",9.1019091754499,58.3098972052321,"1"
"19",17.6818687845567,87.4257890748557,"1"
"20",6.36194274965545,78.6495993540383,"1"
"21",9.96454504692645,69.2037787557598,"1"
"22",14.4273870784753,77.5525110627035,"1"
"23",4.68767510364187,72.5562273638921,"1"
"24",8.00872012206231,74.5326504831355,"1"
"25",17.5132949692434,70.7580444676042,"1"
"26",5.3305332685818,63.8648945654687,"1"
"27",13.5871676362627,91.3409071031403,"1"
"28",10.827904481439,84.1705868023342,"1"
"29",7.54059621863204,69.6126842779548,"1"
"30",19.0533401110299,93.6716862725264,"1"
"31",21.4517913681227,81.9351469774325,"1"
"32",12.3933440026756,77.6670432125998,"1"
"33",23.0621991008347,86.9944525973197,"1"
"34",21.226685427989,87.7621069194089,"1"
"35",16.0273598227357,89.830206248192,"1"
"36",22.6186296407547,84.6230626132032,"1"
"37",16.9725876049224,85.942618225353,"1"
"38",13.1679207043802,80.1982931820927,"1"
"39",13.1986605425452,77.0984493540351,"1"
"40",6.5906205202486,79.6936106503906,"1"
"41",14.9446312568025,71.2525546836935,"1"
"42",11.7750864193467,79.0990496480748,"1"
"43",8.66169928206487,67.4048652429035,"1"
"44",27.3178408330763,100.810748995336,"1"
"45",19.7167858942948,92.7373051514028,"1"
"46",12.6860398894242,67.0487978576499,"1"
"47",17.5024522337157,73.5705943266109,"1"
"48",14.2865299249133,74.4860132357682,"1"
"49",12.9377925388828,90.9579074254457,"1"
"50",14.3656464450148,79.2861929574448,"1"
"51",15.1656568581823,83.1118238678225,"1"
"52",15.5177412619846,79.3622474229958,"1"
"53",13.1197037831265,80.4646693950242,"1"
"54",25.5411225596938,91.6497787719502,"1"
"55",9.74035257643679,79.9624385616074,"1"
"56",20.9140928706646,95.9942901559018,"1"
"57",9.69622613208494,63.2712167531748,"1"
"58",17.8809268330708,85.8443109202274,"1"
"59",13.1312934617997,82.564902611522,"1"
"60",14.173197616196,83.1707435493647,"1"
"61",11.7827257897556,86.5182799891608,"1"
"62",14.515902054321,73.9126185375916,"1"
"63",9.32259051438978,78.8286434136135,"1"
"64",6.00014620158365,71.9476745604252,"1"
"65",9.93803897033245,69.1678378681,"1"
"66",20.0282238030344,81.143822590665,"1"
"67",21.1869368971408,82.3516308466331,"1"
"68",13.6683283185878,81.3823558851194,"1"
"69",20.0977664100393,88.9238842665865,"1"
"70",19.5175451866681,103.483495157117,"1"
"71",10.5367130412197,76.1848850588898,"1"
"72",4.17097833726353,56.6209790230993,"1"
"73",23.8936684564723,87.9469704698967,"1"
"74",13.3209367667968,71.9384120154739,"1"
"75",10.1776093955725,73.8884159157536,"1"
"76",21.9767252609421,89.2234597772526,"1"
"77",11.6943806799837,78.1712301963418,"1"
"78",9.75976010695427,67.3816804865454,"1"
"79",16.3242665119294,81.581901327755,"1"
"80",16.8395406016532,77.2607243253072,"1"
"81",8.32928873744966,83.642882292846,"1"
"82",15.8550920621352,84.4100842805379,"1"
"83",12.2404987535034,76.7938414831405,"1"
"84",24.3380826366314,83.1436020956183,"1"
"85",11.5202650446238,79.0766228673624,"1"
"86",20.3445018238441,81.3315142995142,"1"
"87",23.9010874393768,89.0939831684254,"1"
"88",14.0571061174565,86.0027982834437,"1"
"89",14.8792330100074,75.9467426007621,"1"
"90",27.1882226997882,87.9913443302517,"1"
"91",13.9963523741727,93.0892778498252,"1"
"92",26.2450086363454,80.9104194487002,"1"
"93",14.2399402129023,83.4229598716414,"1"
"94",8.1214468052601,75.7481891943218,"1"
"95",24.3712306879072,92.1754459652178,"1"
"96",10.282160846846,74.9411018344876,"1"
"97",24.9523081422995,102.308923001857,"1"
"98",19.3952318007508,97.0110764469844,"1"
"99",12.0582990816366,78.5964613938957,"1"
"100",10.4663573245782,69.4583089494236,"1"
"101",8.04398487085982,74.747316613189,"1"
"102",13.5340230153012,84.0300912447535,"1"
"103",16.9977405049807,75.8140833424463,"1"
"104",18.100546425493,73.9497097707142,"1"
"105",9.43437096929084,70.9556800907133,"1"
"106",15.7269926860406,79.0420353375188,"1"
"107",14.3410663438644,70.4359982779509,"1"
"108",5.93781767653322,63.7767947178943,"1"
"109",17.6445720127466,73.7808041666827,"1"
"110",19.2632701226066,89.3291683905387,"1"
"111",14.1740807189813,73.1729609998098,"1"
"112",14.8287182112579,87.7728195712123,"1"
"113",-2.03199980421752,68.6745706760936,"1"
"114",17.9299234861078,77.7299706835952,"1"
"115",14.0097392582719,87.0922740778297,"1"
"116",13.6804357559252,84.5110458657436,"1"
"117",15.8023589204644,80.9057263606756,"1"
"118",13.2280575878489,72.853496938317,"1"
"119",4.99266564979845,74.6204148840635,"1"
"120",16.6712407129989,66.1665151448401,"1"
"121",17.8808120462304,79.9446086569994,"1"
"122",15.0740402695439,67.9897762747329,"1"
