"","F1","F2","F3","F4","F5","class"
"1",-4.38067466808266,15.9468969685486,1.69364880220351,4.71984477583714,-7.42436965368934,1
"2",-3.81784332871905,16.0849336197205,-0.673739805020176,5.31051796145571,-7.34131992666319,1
"3",-6.67258017150897,15.3691082268329,0.266872903302223,3.88027083060088,-7.49356778678452,1
"4",-7.29144977626454,16.4248701859858,1.44625046944598,3.47102512288008,-5.61471359786533,1
"5",-5.17829224404531,15.292011658499,2.18800301265448,5.48729554742507,-6.04694743729777,1
"6",-4.91611621142204,16.1410007950288,1.23096564103274,4.30319939615211,-7.24899951994764,1
"7",-6.29946344444264,15.3791658634716,0.027481000041198,6.77811802523054,-5.66056652063027,1
"8",-6.72786504872547,15.1841983061922,0.826221997986244,5.38912717822834,-6.95189758540709,1
"9",-5.35143795152737,15.5585363861425,1.25000689431815,5.97776434390648,-7.09429950459453,1
"10",-4.08828586109259,14.038330337261,1.87749110124553,4.73301630373664,-6.65258695019129,1
"11",-5.22511698276224,15.0847596883819,0.959669967940042,3.59058667678493,-7.94031974541084,1
"12",-5.30122782411787,16.0352929201207,1.34588157833997,5.53142952777176,-4.81844383330812,1
"13",-6.09578763157866,13.2779142658504,2.29861587607172,3.89996129730963,-7.55653713540262,1
"14",-4.57918509582543,15.3023101344402,0.0721596393549269,4.79046553964117,-7.0074198813743,1
"15",-5.59899227962224,15.9723635426176,0.922217319817053,5.25353860841086,-7.08901508075401,1
"16",-5.27297450160643,16.6839221546406,1.72805884244327,4.2832304743608,-5.71972090048417,1
"17",-4.61125260956001,16.1354801009993,1.5316090867209,3.98125598385265,-5.50787607040525,1
"18",-6.20501605266925,17.7744161345078,2.82548797779465,4.37346170079155,-7.89494941924204,1
"19",-6.31516302922143,15.8439668506478,1.04618547314709,4.26161946049429,-7.82014708620028,1
"20",-5.64978419033105,14.8021786720342,-0.375064584978674,4.22893553960426,-5.94953190987449,1
"21",-6.18010342813052,16.1950474637163,-0.325005356679702,4.55360009436748,-6.3491213149918,1
"22",-5.30360310335541,15.6927593356402,0.652171343304086,3.75945771385844,-7.89265730954017,1
"23",-5.487109868422,14.6396085273064,0.802319907908794,4.35306986769378,-5.02466651370305,1
"24",-6.25670636721758,15.8224697137761,1.37083820117317,3.64730542576189,-6.93983660505886,1
"25",-4.16020560709878,16.0385871945705,1.3341102736024,4.1866652275524,-8.92177574047578,1
"26",-4.47341925210795,14.1264430705664,2.0328248624868,6.51826562910951,-8.31242167990706,1
"27",-4.90297213014741,15.3248856520888,-0.279266807536025,3.09449440611027,-8.47006469250985,1
"28",-6.13566298769243,14.1253275564953,1.98079412458529,6.7092710004177,-8.15555899497044,1
"29",-4.81701761804695,16.3561253824921,1.62507993055958,3.60078545161502,-6.98798112556592,1
"30",-5.88515180069237,16.1500726747117,0.920438595505633,5.58613544657764,-7.24310937670227,1
"31",-4.55204499994279,14.5379061348252,0.0327221068513501,7.85020199483443,-7.28538610709569,1
"32",-5.30652887398141,16.2236528155251,0.809096725900719,5.12602410420563,-6.49956399155017,1
"33",-5.82013697316382,15.6523761750166,1.258810097871,6.7376139589082,-7.60986461520809,1
"34",-6.70075273259679,15.6248715406623,1.6033581010526,5.04568553880221,-7.32689385164637,1
"35",-6.66808259949332,16.8502683175807,0.943226963655908,3.74364919723865,-7.10480808787636,1
"36",-5.80193235987068,16.6970034312049,1.37761464380666,5.36321584507655,-7.36782053610752,1
"37",-5.39031115594052,15.2623972300004,1.38746087978303,3.71379870191448,-8.17933005226323,1
"38",-3.60754308077416,16.1877919651637,0.0416059899845185,3.9979961432116,-8.05400860353257,1
"39",-3.40594611663841,16.8994961179248,1.02773229491311,5.15235611912411,-7.28286846685412,1
"40",-6.0810033601377,14.798480303641,0.698260084149951,6.26006952722871,-6.9225566440207,1
"41",-5.48551122909454,15.8307705710903,2.5253532300948,4.09309822894724,-7.8610356693273,1
"42",-3.92905953311894,15.145919924586,0.569811381669589,3.37288894100873,-8.15324424125306,1
"43",-6.17872994482011,16.2050689586578,2.40272549053918,5.31675041372761,-7.23218581603051,1
"44",-5.54500652813752,14.8824866778112,0.575659190035452,5.49381255886894,-7.8841210975388,1
"45",-3.64946250002966,15.4967635475254,1.50741617823868,3.87063435515245,-7.44291720869853,1
"46",-6.92177259782737,15.4041577531185,1.71185975653393,4.9334664040534,-7.65006500599001,1
"47",-6.39337843637613,15.0848844231484,2.78893802145581,3.47185843922628,-7.04758011331546,1
"48",-3.7023946438432,15.4861082561624,-0.0669633522119313,3.94439262461796,-6.38306854003038,1
"49",-5.9803593371919,15.0252067779415,0.948960117481003,4.69965870703124,-5.27001974778943,1
"50",-5.69332157766101,16.6678826376428,1.92363146726003,4.49552216438588,-8.40143052182586,1
"51",-6.12587378307465,15.0972126883528,1.34003178437099,5.90936073755884,-4.57544954510417,1
"52",-4.05717540653836,15.4539321771623,-0.463650043948175,4.22038219582028,-6.77932129586197,1
"53",-4.75974346145469,16.5496111099755,1.97718678102593,3.21388771009256,-6.01888547330191,1
"54",-6.05131368194935,15.7618858416525,1.3674285287832,5.03732882486253,-6.84385353610912,1
"55",-7.27223156310779,16.3235791062647,1.67890391995914,4.3435104346138,-6.75038400788858,1
"56",-5.47071782015366,15.8081026100522,2.93372351758695,4.39011168095855,-6.7004631350506,1
"57",-4.43637259245303,16.6412641648682,2.43814046198982,4.03169405883247,-4.86604578864243,1
"58",-5.53805559459194,17.4539349861981,-0.0580253344212491,4.63014564624626,-5.61861394796605,1
"59",-6.31999865274492,14.8343941732735,0.354338648002569,3.55664878055329,-7.30568805211566,1
"60",-5.27357729256314,13.5728726435705,1.50485778498175,5.84583710630859,-4.83095450069483,1
"61",-4.30358047332154,16.3438579052872,-0.433853047504867,4.00765535188524,-7.22057497551788,1
"62",-4.90123256276523,15.4814118074875,0.0342287235492906,6.29359776798614,-5.9571372271393,1
"63",-5.3673261930311,16.8051917518171,-0.0458969356255099,5.26998235768182,-7.39144089524868,1
"64",-4.92101094367141,15.5262611868312,1.92583806464091,5.94467967495142,-6.86123842861836,1
"65",-4.58719782857003,14.3986491063433,0.571272911173447,6.1283797712802,-6.49114054591133,1
"66",-7.65697928595586,14.2230456894089,1.09209633602034,5.47494146422651,-6.97041177465048,1
"67",-4.98056899350147,16.5460885192791,2.9639321804724,4.66517879316699,-6.92051042511616,1
"68",-7.3579938246644,15.6864107355791,0.721027293713899,3.63515247708793,-7.0484347499828,1
"69",-4.58981329277847,13.5943346528027,0.865598064404034,4.72579934347473,-7.76173608899021,1
"70",-5.2708535230229,15.998513062107,1.25984119233347,2.143263866132,-4.29707037306862,1
"71",-5.81005572299033,16.2382764230789,1.56664384264601,5.63383529471037,-6.05086907256117,1
"72",-5.81454963675063,15.9652509136997,0.34746852048557,5.46608507079134,-7.32956685781961,1
"73",-3.18798311173392,13.9360342458031,0.828890108643448,5.43454192265127,-6.3583959720566,1
"74",-6.19423750403713,14.5903023992837,1.43735305632016,4.59485464672511,-8.65880975619932,1
"75",-5.57020539838827,15.7773134571837,1.4676037485913,3.55414501728934,-6.39239524063263,1
"76",-4.22618632856289,16.0433195446711,0.157288881235119,4.17351659020012,-6.52242489938165,1
"77",-6.25180209684039,13.429436806476,2.17712817163767,3.77968444826751,-7.44208878970354,1
"78",-4.10085585651759,14.8129382118858,2.13860889179876,3.34847918107325,-7.22307092200924,1
"79",-5.6783124846586,14.4184317170669,0.658129086700553,4.58032050696371,-6.19783255020133,1
"80",-7.25530300894724,15.23732890228,2.04928379015495,4.07035289991443,-6.64123659726232,1
"81",-5.11252789545769,15.8549181568229,1.94613503108084,4.48645339891464,-7.28220503252738,1
"82",-8.2479054175511,15.4941421230118,1.72316204796945,5.14456090076017,-7.42380687024851,1
"83",-3.82525355574698,15.8735075611201,1.41919321006835,5.88142883936054,-7.58699474025452,1
"84",-6.05509508944684,17.984535621541,1.30400653883035,6.24273048130033,-8.30703516384978,1
"85",-5.79527326756503,15.9655070451281,1.59291589681526,3.60352580038119,-6.84926924430989,1
"86",-6.68217711863411,16.2997864667355,2.37765244147011,2.38417436340461,-5.63283505663512,1
"87",-6.84580096233062,16.0418524104739,1.95277998975207,4.40927223179059,-7.51364247579505,1
"88",-5.43943544428008,16.0259018422057,2.17618017155817,2.55682507599007,-8.50490778699428,1
"89",-4.17435412433394,16.6337119886028,1.72816630051714,5.32434046700308,-5.95135360129426,1
"90",-8.26567926398781,16.6973602381301,0.807889755047138,4.83977889052322,-7.16368631981884,1
"91",-4.73279151144338,15.2386106925356,1.81138111749771,4.21847708125304,-7.96131572803677,1
"92",-4.39474595508186,16.3279831527655,3.01713959076592,4.67431599247133,-5.74352577310709,1
"93",-3.62933741150305,15.3056010264523,-0.0300737611457529,4.36981049275391,-7.08256975892064,1
"94",-5.45307596101281,17.2993881188105,0.966733459104114,4.98216671569694,-7.09621258383079,1
"95",-5.58430575699709,15.9011408049975,2.62109204764645,4.7304804373828,-6.15568619890415,1
"96",-4.82589643573859,16.5018564123469,0.718482799425079,6.2360432740867,-7.24948525822927,1
"97",-5.71054063317188,16.9911334092054,2.58696125775504,3.51917018748079,-7.74159951935272,1
"98",-6.96283552489274,15.7689303341111,1.45771821952793,4.97327674724709,-6.3163708047167,1
"99",-6.20664931150714,14.5933845503925,2.31966240768437,5.36022336249835,-8.37769505626396,1
"100",-5.69990391637141,14.6911353187347,-0.777873718932501,4.75928219108017,-6.94774022819385,1
"101",-5.70212573303521,15.8032356832925,2.17534251600605,4.81475956437541,-7.48496436180879,1
"102",-6.33955571744341,15.4552803484501,1.60289433818841,3.56948170718998,-7.05283738777764,1
"103",-4.63748920535421,15.4788030502568,0.594456684015072,4.33321689146648,-5.75387997357328,1
"104",-5.05471250430799,16.8237589415728,1.43197520877123,5.01943715638245,-7.42698543128339,1
"105",-4.99938579659179,15.080749599302,-0.127688153086282,4.73715502557615,-4.92267730120382,1
"106",-4.80384212594906,16.7523365314375,1.65173307470261,4.0006048815758,-7.07076937404554,1
"107",-5.87800457233405,15.1183833617092,1.99704463553918,3.41179855752661,-6.00216238682249,1
"108",-4.74060397929623,14.3884607824225,1.93236934951,7.03938871223653,-7.42574400087687,1
"109",-4.75985222411405,14.8048812958718,2.40358876981226,4.85898677981859,-5.2166131273121,1
"110",-7.06372719405904,15.5357852553659,0.765952175483865,4.41189719081572,-7.49810726162127,1
"111",-6.43860004605713,16.1658055161077,0.205296637532535,6.09319299144831,-8.05473510424901,1
"112",-5.50367731412685,16.1200724283177,1.87961269070209,4.30741539602564,-6.78902652360686,1
"113",-4.64349231371245,14.1306172244148,0.511137640077381,4.92956437420863,-7.31331049727225,1
"114",-4.23475247155113,16.2603370048461,1.36504410402422,3.10140474235534,-6.84242829360902,1
"115",-5.92117233371912,15.4847366279706,0.111318124553777,5.10782010372195,-7.90748495924229,1
"116",-5.83097844696454,15.9685089709426,0.509361562596415,5.19215346557209,-8.18503892058695,1
"117",-8.41453114448267,16.0520511322771,2.13341717857046,4.32331663630064,-6.36440226434365,1
"118",-6.7606729906058,15.4599345346656,-0.648641024431155,5.79034295133054,-5.0086176573921,1
"119",-4.53074420524014,15.5597361750775,1.25954700933354,3.09309443674092,-6.07814317504703,1
"120",-5.8154906462139,14.9303402161302,-0.119148441048846,4.30939956324575,-7.71758965395197,1
"121",-6.00178698584996,14.3694831537276,2.98046683455516,4.59315953268405,-5.79358344166288,1
"122",-8.20645613577978,15.1338853114964,0.617395060017391,3.38623588052611,-5.32191936471117,1
"123",-7.02003838529162,15.9054734018993,2.13931363718915,4.78735224831005,-7.74378399643078,1
"124",-4.66359065879796,15.7576712233321,0.229379445227419,3.22111301228996,-4.78181108444211,1
"125",-6.28325961094056,13.7315114875732,1.82613671436311,4.91939231595292,-8.22236285465786,1
"126",-7.54771287910408,15.4707806243326,2.43227364331888,5.24528609507417,-7.36146594309724,1
"127",-6.4389446971065,15.8581498982418,1.45023069882562,5.23887380658475,-7.26432646922416,1
"128",-4.70540241231903,14.756271614155,0.962332651489499,5.34997658361793,-5.87855691030815,1
"129",-7.5432611669755,15.6942735485074,1.90165636334409,3.15833774640139,-6.38790291906004,1
"130",-6.43293073591892,16.6073361536557,1.8313593837121,5.37821435488763,-6.74780918964823,1
"131",-4.74110803136437,16.9675976698058,3.2591253670651,4.58076700514296,-9.11757960926766,1
"132",-5.57323046092813,15.7926443499412,1.13753200446506,5.1774506806691,-5.857850554421,1
"133",-6.12273889568995,15.2929878143351,1.6907195604098,4.05893831840288,-6.77726113544703,1
"134",-7.56646406440743,14.4671834200936,-0.0348781239946627,3.75553836316478,-7.56183304686593,1
"135",-5.22245132297576,16.5691961440139,0.565493822521927,3.61232307751402,-7.91021737792477,1
"136",-6.0193451918858,15.3480540733387,1.77649488544773,4.28783721772363,-8.94701778779528,1
"137",-5.69619074107226,16.7742699521428,2.48447862011979,3.82019884178079,-8.41630506257283,1
"138",-3.14669597365685,15.4246611990118,1.19542610150385,5.02973624859017,-8.48256797555438,1
"139",-6.33297557671341,14.0466407362012,0.599782737598867,4.72801149289658,-8.23323797692217,1
"140",-5.01477378615481,15.8764271703086,0.388662325988823,4.83548700227309,-6.12044735644142,1
"141",-4.54366121226038,15.3742348628447,1.19924055769842,4.5224479249101,-5.42706676288022,1
"142",-4.47968457324413,16.4214847092483,1.00553655176877,4.98240349405843,-6.46523818771457,1
"143",-6.64642975981145,13.8587786261705,1.93470737926108,3.0798515287116,-6.86684483045105,1
"144",-5.35450864417379,16.1509505317971,1.48230358912427,3.8763082535949,-5.8821626590398,1
"145",-3.86612269861588,16.4682619504167,-0.650773549714513,6.00873824529497,-6.92458446512153,1
"146",-5.07984218620284,16.2091163773623,1.19619127840276,4.5338988622433,-5.84937144960436,1
"147",-4.89315454303588,16.5773453875355,3.67580404683979,5.27357792358611,-6.66114736154995,1
"148",-7.81538957609775,18.2787971447374,0.810200529813155,6.98389677498742,-6.49388495093027,1
"149",-4.06632626662533,15.477372820315,1.80434810630759,4.82312003953429,-7.05464921830876,1
"150",-5.72515029014462,16.5999174773355,1.09141920463796,2.57147956545122,-7.06441776776509,1
